type	id	lat	long
rta	Chungcheongnam	36.685947999999996	126.799198
rta	Comunitat Valenciana	39.336999999999996	-0.354
rta	Colfontaine	50.40777	3.8462370000000004
rta	Connecticut	41.678117	-72.66977299999999
rta	Copenhagen	55.6761	12.5683
rta	Cork	51.895348999999996	-8.474381
rta	Courcelles	50.469378000000006	4.34449
rta	Couthuin	50.5315	5.1225
rta	Couvin	50.035063	4.485139
rta	Croatia	45.1	15.2
rta	Dakar	14.725966	-17.46181
rta	Dalhem	50.71948	5.758129
rta	Deinze	50.9875	3.5236
rta	Dendermonde	51.032573	4.099329
rta	Denmark	56.2639	9.5018
rta	Diamond Princess	35.046935	139.419325
rta	Dilbeek	50.8465	4.2621
rta	District of Columbia	38.9072	-77.0369
rta	Distrito Federal	-15.7998	-47.8645
rta	Doha	25.270283	51.52297
rta	Doornik	50.616724	3.3953290000000003
rta	Drenthe	52.846963	6.608915
rta	Dublin	53.3431	-6.2621910000000005
rta	Duesseldorf	51.236437	6.809537
rta	Ellezelles	50.7338	3.6799
rta	Elsene	50.82821	4.371924
rta	England	52.405994	-1.671707
rta	Estado de Mexico	19.4969	-99.7233
rta	Eupen	50.6292	6.0337
rta	Eskisehir	39.773703000000005	30.518708
rta	Espirito Santo	-19.1834	-40.3089
rta	Estinnes	50.374881	4.103617
rta	Etterbeek	50.833658	4.394661
rta	Europe	48.684312	13.651501000000001
rta	Finland	61.751734	26.186436999999998
rta	Flanders	51.056536	4.254283
rta	Flevoland	52.48851	5.615829
rta	Florida	27.6648	-81.5158
rta	Fontaine-l Eveque	50.407803	4.322526
rta	Frameries	50.389738	3.883946
rta	France	46.2276	2.2137
rta	Friesland	53.1642	5.7818
rta	Friuli Venezia Giulia	46.2259	13.1034
rta	Fujian	26.284852	118.12293799999999
rta	Galicia	42.5751	-8.1339
rta	Ganshoren	50.873	4.3093
rta	Gavleborgs lan	61.514766	16.400925
rta	Gelderland	52.042091	6.01486
rta	Genappe	50.603840999999996	4.4517370000000005
rta	Geneva	46.216038	6.136984
rta	Gent	51.041540000000005	3.6979610000000003
rta	Georgia	32.1656	-82.9001
rta	Geraardsbergen	50.777365	3.899454
rta	Germany	51.1657	10.4515
rta	Ghent	51.0543	3.7174
rta	Gierle	51.2672	4.8677
rta	Gilgit Baltistan	35.589113	75.614837
rta	Goiais	-15.932272	-49.593573
rta	Grand Est	48.691466999999996	5.566495
rta	Grand Canary Islands	27.9202	-15.5474
rta	Grand Princess	37.579905	-123.67313
rta	Graubünden	46.709551	9.606902999999999
rta	Greater Accra	5.7616190000000005	0.040546
rta	Grimbergen	50.942962	4.3756639999999996
rta	Guangdong	23.615762	114.48325700000001
rta	Guayas	-1.9575	-79.9193
rta	Gujarat	22.2587	71.1924
rta	Gyeonggi	37.397957	127.38086399999999
rta	Halland	56.964727	12.796906
rta	Hangzhou	30.2741	120.1551
rta	Hasselt	50.925346999999995	5.311394
rta	Hauts de France	49.934396	2.783002
rta	Havelange	50.359744	5.246544999999999
rta	Hawaii	19.8968	-155.5828
rta	Hawali	29.3378	48.0235
rta	Helden	51.32323	6.012457
rta	Helsinki	60.1698848	24.9384991
rta	Hemiksem	51.143514	4.3398959999999995
rta	Henan	33.817629	113.690243
rta	Henri-chapelle	50.665958	5.932616
rta	Herent	50.91021	4.644197
rta	Herselt	51.048722999999995	4.879674
rta	Herstal	50.680399	5.606845
rta	Herve	50.647665	5.7945720000000005
rta	Holsbeek	50.9211	4.757
rta	Ho Chi Minh City	10.790417	106.653985
rta	Hoegaarden	50.7743	4.8927
rta	Hong Kong	22.3964	114.1095
rta	Honnelles	50.350747	3.714603
rta	Houthalen-Helchteren	51.0312	5.3765
rta	Hubei	31.095477000000002	112.676644
rta	Huldenberg	50.7886	4.5881
rta	Idaho	43.810421000000005	-114.351215
rta	Ile De France	48.724751	2.4915220000000002
rta	Illinois	40.088552	-89.30187600000001
rta	Indiana	40.2672	-86.1349
rta	Iowa	41.878	-93.0977
rta	Iran	34.5732	51.876000000000005
rta	Ireland	52.865	-7.979
rta	Ishikawa	36.570184999999995	136.732454
rta	Istanbul	41.0082	28.9784
rta	Italy	43.382775	12.183629
rta	Japan	35.685359999999996	139.75309
rta	Jiangsu	33.077760999999995	119.825116
rta	Jiangxi	27.458972999999997	115.535326
rta	Kalmthout	51.383	4.4752
rta	Kanagawa	35.403801	139.294288
rta	Kansai	34.778675	135.880055
rta	Kansas	39.0119	-98.4842
rta	Kanto	36.167777	139.170466
rta	Karaman	37.165058	33.294127
rta	Karnataka	15.3173	75.7139
rta	Kastamonu	41.550202	33.742886
rta	Kasterlee	51.2405	4.9674
rta	Kathmandu	27.712907	85.323557
rta	Kaulile	51.1872	5.5257
rta	Kayseri	38.7205	35.4826
rta	Keelung	25.1276	121.7392
rta	Kerala	10.359825	76.39955
rta	Kessel-Lo	50.8851	4.7357
rta	Khabarovsk Region	50.5888	135.0
rta	Khyber Pakhtunkhwa	33.696621	72.636031
rta	Kinshasa	-4.2978	15.2962
rta	Kochi	33.518628	133.505674
